"","DMU","YEAR","Researcher","Expenditure","Operation.expenses","SCI.paper","Non.SCI.paper","Patent.Application","Patent.Registration","Royalty.Fee","Technician","Administrator","Research.income","Research.Cost","weight.restriction"
"1","ETRI",2014,2094,629011000,24624000,264,516,3225,1600,32709295,138,161,556156715,446808224,1079.514686
"2","GTC",2014,27,8375094,1171762,0,3,0,0,0,0,7,8340689,6839380,0
"3","KAERI",2014,1190,484918000,22910000,432,351,424,329,1640977,116,104,471995908,407071911,54.15765677
"4","KARI",2014,675,419275970,9450453,54,284,217,176,987206,75,90,405425955,373798272,32.58105611
"5","KASI",2014,150,69100000,2428000,151,30,17,10,60000,11,37,61412597,57663256,1.98019802
"6","KBSI",2014,256,100029554,5093779,438,50,82,69,422500,57,48,84870510,75031585,13.94389439
"7","KERI",2014,395,191099000,7270000,179,4,278,271,4541289,106,70,184239930,166309469,149.8775248
"8","KFRI",2014,301,55659000,2450000,84,147,145,190,523398,19,33,53502715,46442566,17.27386139
"9","KICT",2014,583,160320000,6514000,47,521,265,263,2005683,23,41,145858188,122521607,66.19415842
"10","KIER",2014,392,136138066,8598491,251,161,421,441,2326355,169,58,131243533,113065646,76.77739274
"11","KIGAM",2014,382,138707359,7528394,166,228,300,242,1114089,58,72,131385968,114793512,36.76861386
"12","KIMM",2014,429,147962000,8502000,148,217,374,411,6348024,47,66,134943960,120130800,209.5057426
"13","KIMS",2014,284,75424000,4796000,223,131,194,182,1546375,43,35,72898692,62750523,51.03547855
"14","KIOM",2014,232,52221985,3887989,91,217,84,67,135946,8,28,44209871,37208964,4.486666667
"15","KIST",2014,731,285878510,15291551,957,266,681,635,4567297,50,126,255253254,211505222,150.7358746
"16","KISTI",2014,342,133520997,5616943,75,243,68,61,217510,79,48,126697433,114257793,7.178547855
"17","KIT",2014,201,43064978,5164097,42,9,7,4,2500,9,29,37654269,29709025,0.082508251
"18","KITECH",2014,1055,310719825,17798558,137,278,596,400,7290776,0,108,282360781,245286093,240.61967
"19","KRIBB",2014,304,151635187,8173441,352,260,372,250,745925,60,38,137417895,117319174,24.6179868
"20","KRICT",2014,491,159045000,8585000,259,111,347,377,3812174,11,52,137284682,121436596,125.8143234
"21","KRISS",2014,288,148090000,8326000,243,111,207,192,925798,74,57,135933033,115418167,30.55438944
"22","KRRI",2014,369,191099000,7270000,26,190,296,261,1154587,7,35,134462857,120317589,38.10518152
"23","NFRI",2014,171,148437836,5424147,98,11,50,55,518972,107,57,143119206,135080928,17.12778878
"24","WIKIM",2014,63,19103587,1175020,13,28,26,8,10000,0,14,11867095,9780441,0.330033003
"25","ETRI",2015,2080,626394000,26461000,253,404,3168,1078,30857813,138,160,597469719,494854412,1018.40967
"26","GTC",2015,28,10060312,1200026,0,4,0,0,0,0,10,9385254,7812755,0
"27","KAERI",2015,1197,497497000,23202000,400,286,291,326,1895440,114,105,444427384,384229343,62.55577558
"28","KARI",2015,672,686510676,10901058,52,241,219,132,1498259,78,88,674345858,638018419,49.44749175
"29","KASI",2015,156,64346000,2873000,200,57,12,11,50000,10,35,59883557,54247993,1.650165017
"30","KBSI",2015,250,108028508,5378359,377,32,65,59,193000,51,52,90305848,77441332,6.369636964
"31","KERI",2015,384,157956000,7687000,134,5,212,217,4702282,105,74,144574467,133826863,155.1908251
"32","KFRI",2015,302,66089000,2896000,95,154,112,112,657441,19,32,52828204,47185464,21.69772277
"33","KICT",2015,577,151042000,6665000,30,498,169,170,2623800,23,39,136685959,124222274,86.59405941
"34","KIER",2015,395,138466890,8552090,199,151,356,343,1826958,157,60,132122525,115083497,60.29564356
"35","KIGAM",2015,396,142663996,7085838,164,248,241,214,1320042,56,74,133691616,118062895,43.56574257
"36","KIMM",2015,423,145205000,9094000,124,241,443,348,4364473,47,64,131003706,112986726,144.0420132
"37","KIMS",2015,271,80074000,4903000,214,105,163,121,1970257,46,39,76509878,66064253,65.0249835
"38","KIOM",2015,228,56624358,4264061,57,221,114,67,268201,5,30,47859837,39616379,8.851518152
"39","KIST",2015,708,298004950,15467897,864,315,776,498,4747601,52,127,246337606,209157099,156.6865017
"40","KISTI",2015,334,131290830,6044884,71,246,34,36,528891,81,47,128259768,116446640,17.45514851
"41","KIT",2015,185,47580396,5052426,70,10,18,4,19100,9,27,38701821,30968239,0.630363036
"42","KITECH",2015,935,328398273,18240042,192,262,670,378,10711386,0,161,304088492,264543146,353.5110891
"43","KRIBB",2015,281,155238022,8191028,398,255,310,244,880268,64,40,140849002,120597198,29.05174917
"44","KRICT",2015,502,150861000,9406000,245,122,302,290,3438442,11,53,136081237,116183297,113.479934
"45","KRISS",2015,288,155730000,9036000,215,134,200,133,1374930,75,55,141545112,112141929,45.37722772
"46","KRRI",2015,372,157956000,7687000,32,245,240,176,1266612,8,35,111625680,99045181,41.80237624
"47","NFRI",2015,167,114536276,5409938,87,32,55,26,352145,109,57,108458191,101887539,11.62194719
"48","WIKIM",2015,63,20612923,1120823,9,31,28,5,12000,0,16,14253514,12145976,0.396039604
"49","ETRI",2016,2088,651391000,27031000,303,224,3223,1033,35202315,144,164,630693957,520376209,1161.792574
